Connected to COM3

ClearSy Safety Plateform - Startup
Version 0.7 
Replicas initialisation
PIC 0 - Card 0
(55:55)
nb_global_inputs 11, nb_local_inputs 3, nb_external_inputs 8 
nb_external_inputs 8, nb_external_outputs 8 
RW cycle time: 1078
clock 06153 ms | mcu 0 | user time 881 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 134 | nb_rw_cycle_counter 44 | nb_inter_pic_trame_counter 133
Cycle 1 time: 887
Cycle 2 time: 241
Cycle 0 time: 15
RW cycle time: 1143
Cycle 1 time: 968
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1226
Cycle 1 time: 909
Cycle 2 time: 245
Cycle 0 time: 18
RW cycle time: 1172
Cycle 1 time: 974
Cycle 2 time: 247
Cycle 0 time: 16
RW cycle time: 1237
Cycle 1 time: 640
Cycle 2 time: 244
Cycle 0 time: 17
RW cycle time: 901
Cycle 1 time: 801
Cycle 2 time: 238
Cycle 0 time: 15
RW cycle time: 1054
Cycle 1 time: 821
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1081
Cycle 1 time: 769
Cycle 2 time: 242
Cycle 0 time: 17
RW cycle time: 1028
Cycle 1 time: 635
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 892
Cycle 1 time: 583
Cycle 2 time: 247
Cycle 0 time: 17
RW cycle time: 847
Cycle 1 time: 863
Cycle 2 time: 239
Cycle 0 time: 17
RW cycle time: 1119
Cycle 1 time: 741
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 996
Cycle 1 time: 758
Cycle 2 time: 245
Cycle 0 time: 16
RW cycle time: 1019
Cycle 1 time: 693
Cycle 2 time: 247
Cycle 0 time: 16
RW cycle time: 956
Cycle 1 time: 771
Cycle 2 time: 244
Cycle 0 time: 17
RW cycle time: 1032
Cycle 1 time: 791
Cycle 2 time: 241
Cycle 0 time: 21
RW cycle time: 1053
Cycle 1 time: 772
Cycle 2 time: 236
Cycle 0 time: 17
RW cycle time: 1025
Cycle 1 time: 897
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1157
Cycle 1 time: 720
Cycle 2 time: 243
Cycle 0 time: 20
RW cycle time: 983
clock 08159 ms | mcu 0 | user time 1021 | I1 0 | I2 0 | I3 0 | O1 0 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 191 | nb_rw_cycle_counter 63 | nb_inter_pic_trame_counter 190
Cycle 1 time: 1027
Cycle 2 time: 227
Cycle 0 time: 19
RW cycle time: 1273
Cycle 1 time: 851
Cycle 2 time: 243
Cycle 0 time: 20
RW cycle time: 1114
Cycle 1 time: 785
Cycle 2 time: 244
Cycle 0 time: 17
RW cycle time: 1046
Cycle 1 time: 801
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1059
Cycle 1 time: 951
Cycle 2 time: 239
Cycle 0 time: 18
RW cycle time: 1208
Cycle 1 time: 752
Cycle 2 time: 244
Cycle 0 time: 17
RW cycle time: 1013
Cycle 1 time: 899
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 1156
Cycle 1 time: 849
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 1106
Cycle 1 time: 798
Cycle 2 time: 245
Cycle 0 time: 19
RW cycle time: 1062
Cycle 1 time: 917
Cycle 2 time: 246
Cycle 0 time: 18
RW cycle time: 1181
Cycle 1 time: 661
Cycle 2 time: 246
Cycle 0 time: 18
RW cycle time: 925
Cycle 1 time: 588
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 848
Cycle 1 time: 966
Cycle 2 time: 234
Cycle 0 time: 16
RW cycle time: 1216
Cycle 1 time: 1025
Cycle 2 time: 238
Cycle 0 time: 18
RW cycle time: 1281
Cycle 1 time: 981
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1235
Cycle 1 time: 748
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 1003
Cycle 1 time: 913
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1167
Cycle 1 time: 996
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 1255
clock 10174 ms | mcu 0 | user time 1025 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 245 | nb_rw_cycle_counter 81 | nb_inter_pic_trame_counter 244
Cycle 1 time: 1031
Cycle 2 time: 234
Cycle 0 time: 17
RW cycle time: 1282
Cycle 1 time: 697
Cycle 2 time: 248
Cycle 0 time: 18
RW cycle time: 963
Cycle 1 time: 950
Cycle 2 time: 245
Cycle 0 time: 19
RW cycle time: 1214
Cycle 1 time: 671
Cycle 2 time: 247
Cycle 0 time: 20
RW cycle time: 938
Cycle 1 time: 869
Cycle 2 time: 244
Cycle 0 time: 19
RW cycle time: 1132
Cycle 1 time: 537
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 793
Cycle 1 time: 669
Cycle 2 time: 239
Cycle 0 time: 19
RW cycle time: 927
Cycle 1 time: 792
Cycle 2 time: 238
Cycle 0 time: 19
RW cycle time: 1049
Cycle 1 time: 1011
Cycle 2 time: 238
Cycle 0 time: 18
RW cycle time: 1267
Cycle 1 time: 928
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 1190
Cycle 1 time: 748
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 1007
Cycle 1 time: 828
Cycle 2 time: 246
Cycle 0 time: 19
RW cycle time: 1093
Cycle 1 time: 946
Cycle 2 time: 242
Cycle 0 time: 17
RW cycle time: 1205
Cycle 1 time: 904
Cycle 2 time: 248
Cycle 0 time: 20
RW cycle time: 1172
Cycle 1 time: 741
Cycle 2 time: 242
Cycle 0 time: 15
RW cycle time: 998
Cycle 1 time: 674
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 932
Cycle 1 time: 878
Cycle 2 time: 247
Cycle 0 time: 15
RW cycle time: 1140
Cycle 1 time: 794
Cycle 2 time: 238
Cycle 0 time: 18
RW cycle time: 1050
Cycle 1 time: 967
Cycle 2 time: 244
Cycle 0 time: 16
RW cycle time: 1227
clock 12218 ms | mcu 0 | user time 886 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 302 | nb_rw_cycle_counter 100 | nb_inter_pic_trame_counter 301
Cycle 1 time: 892
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1150
Cycle 1 time: 874
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 1128
Cycle 1 time: 725
Cycle 2 time: 240
Cycle 0 time: 18
RW cycle time: 983
Cycle 1 time: 741
Cycle 2 time: 240
Cycle 0 time: 18
RW cycle time: 999
Cycle 1 time: 700
Cycle 2 time: 242
Cycle 0 time: 20
RW cycle time: 962
Cycle 1 time: 736
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 994
Cycle 1 time: 694
Cycle 2 time: 236
Cycle 0 time: 18
RW cycle time: 948
Cycle 1 time: 919
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 1179
Cycle 1 time: 819
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 1075
Cycle 1 time: 929
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1189
Cycle 1 time: 736
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 991
Cycle 1 time: 802
Cycle 2 time: 251
Cycle 0 time: 16
RW cycle time: 1069
Cycle 1 time: 564
Cycle 2 time: 245
Cycle 0 time: 16
RW cycle time: 825
Cycle 1 time: 731
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 993
Cycle 1 time: 617
Cycle 2 time: 242
Cycle 0 time: 19
RW cycle time: 878
Cycle 1 time: 603
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 856
Cycle 1 time: 885
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 1140
Cycle 1 time: 972
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1230
Cycle 1 time: 753
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 1005
Cycle 1 time: 848
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 1101
clock 14296 ms | mcu 0 | user time 975 | I1 0 | I2 0 | I3 0 | O1 0 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 362 | nb_rw_cycle_counter 120 | nb_inter_pic_trame_counter 361
Cycle 1 time: 980
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 1238
Cycle 1 time: 631
Cycle 2 time: 245
Cycle 0 time: 19
RW cycle time: 895
Cycle 1 time: 736
Cycle 2 time: 246
Cycle 0 time: 18
RW cycle time: 1000
Cycle 1 time: 505
Cycle 2 time: 241
Cycle 0 time: 18
RW cycle time: 764
Cycle 1 time: 840
Cycle 2 time: 239
Cycle 0 time: 17
RW cycle time: 1096
Cycle 1 time: 696
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 950
Cycle 1 time: 704
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 958
Cycle 1 time: 857
Cycle 2 time: 246
Cycle 0 time: 16
RW cycle time: 1119
Cycle 1 time: 620
Cycle 2 time: 241
Cycle 0 time: 15
RW cycle time: 876
Cycle 1 time: 958
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1213
Cycle 1 time: 817
Cycle 2 time: 232
Cycle 0 time: 16
RW cycle time: 1065
Cycle 1 time: 844
Cycle 2 time: 245
Cycle 0 time: 19
RW cycle time: 1108
Cycle 1 time: 913
Cycle 2 time: 244
Cycle 0 time: 16
RW cycle time: 1173
Cycle 1 time: 863
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 1116
Cycle 1 time: 1014
Cycle 2 time: 239
Cycle 0 time: 15
RW cycle time: 1268
Cycle 1 time: 744
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 1004
Cycle 1 time: 848
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 1105
Cycle 1 time: 757
Cycle 2 time: 252
Cycle 0 time: 16
RW cycle time: 1025
Cycle 1 time: 609
Cycle 2 time: 238
Cycle 0 time: 18
RW cycle time: 865
Cycle 1 time: 690
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 948
clock 16332 ms | mcu 0 | user time 543 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 422 | nb_rw_cycle_counter 140 | nb_inter_pic_trame_counter 421
Cycle 1 time: 549
Cycle 2 time: 233
Cycle 0 time: 16
RW cycle time: 798
Cycle 1 time: 579
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 839
Cycle 1 time: 758
Cycle 2 time: 235
Cycle 0 time: 17
RW cycle time: 1010
Cycle 1 time: 650
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 907
Cycle 1 time: 805
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 1058
Cycle 1 time: 647
Cycle 2 time: 236
Cycle 0 time: 17
RW cycle time: 900
Cycle 1 time: 612
Cycle 2 time: 245
Cycle 0 time: 16
RW cycle time: 873
Cycle 1 time: 704
Cycle 2 time: 229
Cycle 0 time: 18
RW cycle time: 951
Cycle 1 time: 683
Cycle 2 time: 242
Cycle 0 time: 17
RW cycle time: 942
Cycle 1 time: 795
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 1047
Cycle 1 time: 749
Cycle 2 time: 247
Cycle 0 time: 16
RW cycle time: 1012
Cycle 1 time: 792
Cycle 2 time: 244
Cycle 0 time: 20
RW cycle time: 1056
Cycle 1 time: 813
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 1073
Cycle 1 time: 622
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 879
Cycle 1 time: 775
Cycle 2 time: 236
Cycle 0 time: 17
RW cycle time: 1028
Cycle 1 time: 719
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 981
Cycle 1 time: 874
Cycle 2 time: 245
Cycle 0 time: 19
RW cycle time: 1138
Cycle 1 time: 637
Cycle 2 time: 250
Cycle 0 time: 16
RW cycle time: 903
Cycle 1 time: 692
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 954
Cycle 1 time: 956
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1216
Cycle 1 time: 787
clock 18337 ms | mcu 0 | user time 246 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 483 | nb_rw_cycle_counter 160 | nb_inter_pic_trame_counter 482
Cycle 2 time: 253
Cycle 0 time: 13
RW cycle time: 1053
Cycle 1 time: 787
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 1049
Cycle 1 time: 820
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1075
Cycle 1 time: 841
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 1103
Cycle 1 time: 842
Cycle 2 time: 237
Cycle 0 time: 18
RW cycle time: 1097
Cycle 1 time: 651
Cycle 2 time: 240
Cycle 0 time: 18
RW cycle time: 909
Cycle 1 time: 832
Cycle 2 time: 239
Cycle 0 time: 19
RW cycle time: 1090
Cycle 1 time: 700
Cycle 2 time: 240
Cycle 0 time: 19
RW cycle time: 959
Cycle 1 time: 840
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 1097
Cycle 1 time: 844
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 1098
Cycle 1 time: 821
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 1078
Cycle 1 time: 905
Cycle 2 time: 235
Cycle 0 time: 16
RW cycle time: 1156
Cycle 1 time: 747
Cycle 2 time: 240
Cycle 0 time: 18
RW cycle time: 1005
Cycle 1 time: 861
Cycle 2 time: 231
Cycle 0 time: 18
RW cycle time: 1110
Cycle 1 time: 951
Cycle 2 time: 235
Cycle 0 time: 17
RW cycle time: 1203
Cycle 1 time: 714
Cycle 2 time: 241
Cycle 0 time: 18
RW cycle time: 973
Cycle 1 time: 587
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 849
Cycle 1 time: 946
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 1202
Cycle 1 time: 703
Cycle 2 time: 240
Cycle 0 time: 18
RW cycle time: 961
Cycle 1 time: 744
clock 20339 ms | mcu 0 | user time 238 | I1 0 | I2 0 | I3 0 | O1 0 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 540 | nb_rw_cycle_counter 179 | nb_inter_pic_trame_counter 539
Cycle 2 time: 245
Cycle 0 time: 13
RW cycle time: 1002
Cycle 1 time: 685
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 944
Cycle 1 time: 607
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 862
Cycle 1 time: 684
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 939
Cycle 1 time: 679
Cycle 2 time: 249
Cycle 0 time: 16
RW cycle time: 944
Cycle 1 time: 803
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1063
Cycle 1 time: 696
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 948
Cycle 1 time: 812
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 1068
Cycle 1 time: 950
Cycle 2 time: 247
Cycle 0 time: 19
RW cycle time: 1216
Cycle 1 time: 639
Cycle 2 time: 237
Cycle 0 time: 15
RW cycle time: 891
Cycle 1 time: 787
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1041
Cycle 1 time: 864
Cycle 2 time: 238
Cycle 0 time: 15
RW cycle time: 1117
Cycle 1 time: 930
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 1187
Cycle 1 time: 762
Cycle 2 time: 247
Cycle 0 time: 18
RW cycle time: 1027
Cycle 1 time: 760
Cycle 2 time: 246
Cycle 0 time: 16
RW cycle time: 1022
Cycle 1 time: 692
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 954
Cycle 1 time: 896
Cycle 2 time: 242
Cycle 0 time: 17
RW cycle time: 1155
Cycle 1 time: 885
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1140
Cycle 1 time: 961
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1216
Cycle 1 time: 705
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 962
clock 22374 ms | mcu 0 | user time 635 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 599 | nb_rw_cycle_counter 199 | nb_inter_pic_trame_counter 598
Cycle 1 time: 641
Cycle 2 time: 242
Cycle 0 time: 19
RW cycle time: 902
Cycle 1 time: 964
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 1224
Cycle 1 time: 646
Cycle 2 time: 238
Cycle 0 time: 19
RW cycle time: 903
Cycle 1 time: 768
Cycle 2 time: 239
Cycle 0 time: 15
RW cycle time: 1022
Cycle 1 time: 861
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 1120
Cycle 1 time: 697
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 949
Cycle 1 time: 797
Cycle 2 time: 248
Cycle 0 time: 16
RW cycle time: 1061
Cycle 1 time: 833
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1091
Cycle 1 time: 615
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 873
Cycle 1 time: 660
Cycle 2 time: 236
Cycle 0 time: 18
RW cycle time: 914
Cycle 1 time: 618
Cycle 2 time: 240
Cycle 0 time: 16
RW cycle time: 874
Cycle 1 time: 692
Cycle 2 time: 246
Cycle 0 time: 18
RW cycle time: 956
Cycle 1 time: 739
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 996
Cycle 1 time: 628
Cycle 2 time: 246
Cycle 0 time: 17
RW cycle time: 891
Cycle 1 time: 686
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 948
Cycle 1 time: 958
Cycle 2 time: 241
Cycle 0 time: 16
RW cycle time: 1215
Cycle 1 time: 749
Cycle 2 time: 244
Cycle 0 time: 18
RW cycle time: 1011
Cycle 1 time: 744
Cycle 2 time: 239
Cycle 0 time: 18
RW cycle time: 1001
Cycle 1 time: 732
Cycle 2 time: 237
Cycle 0 time: 19
RW cycle time: 988
Cycle 1 time: 735
Cycle 2 time: 235
Cycle 0 time: 16
RW cycle time: 986
clock 24380 ms | mcu 0 | user time 769 | I1 0 | I2 0 | I3 0 | O1 1 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 659 | nb_rw_cycle_counter 219 | nb_inter_pic_trame_counter 658
Cycle 1 time: 774
Cycle 2 time: 242
Cycle 0 time: 18
RW cycle time: 1034
Cycle 1 time: 837
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 1095
Cycle 1 time: 813
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1067
Cycle 1 time: 791
Cycle 2 time: 244
Cycle 0 time: 19
RW cycle time: 1054
Cycle 1 time: 1008
Cycle 2 time: 238
Cycle 0 time: 16
RW cycle time: 1262
Cycle 1 time: 767
Cycle 2 time: 237
Cycle 0 time: 18
RW cycle time: 1022
Cycle 1 time: 953
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 1206
Cycle 1 time: 730
Cycle 2 time: 246
Cycle 0 time: 16
RW cycle time: 992
Cycle 1 time: 951
Cycle 2 time: 237
Cycle 0 time: 16
RW cycle time: 1204
Cycle 1 time: 765
Cycle 2 time: 243
Cycle 0 time: 17
RW cycle time: 1025
Cycle 1 time: 700
Cycle 2 time: 240
Cycle 0 time: 19
RW cycle time: 959
Cycle 1 time: 936
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 1194
Cycle 1 time: 757
Cycle 2 time: 236
Cycle 0 time: 20
RW cycle time: 1013
Cycle 1 time: 1013
Cycle 2 time: 247
Cycle 0 time: 18
RW cycle time: 1278
Cycle 1 time: 755
Cycle 2 time: 243
Cycle 0 time: 16
RW cycle time: 1014
Cycle 1 time: 726
Cycle 2 time: 238
Cycle 0 time: 17
RW cycle time: 981
Cycle 1 time: 895
Cycle 2 time: 236
Cycle 0 time: 16
RW cycle time: 1147
Cycle 1 time: 764
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1019
Cycle 1 time: 630
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 888
clock 26428 ms | mcu 0 | user time 801 | I1 0 | I2 0 | I3 0 | O1 0 | 02 1
EXT_I 0 | EXT_ O 0
external_input_state 0 | nr_v__external_input_states 0
n_cycle 716 | nb_rw_cycle_counter 238 | nb_inter_pic_trame_counter 715
Cycle 1 time: 806
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1061
Cycle 1 time: 582
Cycle 2 time: 240
Cycle 0 time: 17
RW cycle time: 839
Cycle 1 time: 635
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 889
Cycle 1 time: 615
Cycle 2 time: 241
Cycle 0 time: 20
RW cycle time: 876
Cycle 1 time: 997
Cycle 2 time: 239
Cycle 0 time: 16
RW cycle time: 1252
Cycle 1 time: 977
Cycle 2 time: 232
Cycle 0 time: 16
RW cycle time: 1225
Cycle 1 time: 1066
Cycle 2 time: 257
Cycle 0 time: 17
RW cycle time: 1340
Cycle 1 time: 948
Cycle 2 time: 265
Cycle 0 time: 16
RW cycle time: 1229
Cycle 1 time: 889
Cycle 2 time: 231
Cycle 0 time: 21
RW cycle time: 1141
Cycle 1 time: 986
Cycle 2 time: 233
Cycle 0 time: 15
RW cycle time: 1234
Cycle 1 time: 939
Cycle 2 time: 246
Cycle 0 time: 17
RW cycle time: 1202
Cycle 1 time: 1029
Cycle 2 time: 242
Cycle 0 time: 17
RW cycle time: 1288
Cycle 1 time: 793
Cycle 2 time: 241
Cycle 0 time: 15
RW cycle time: 1049
Cycle 1 time: 676
Cycle 2 time: 237
Cycle 0 time: 17
RW cycle time: 930
Cycle 1 time: 919
Cycle 2 time: 242
Cycle 0 time: 16
RW cycle time: 1177
Cycle 1 time: 1060
Cycle 2 time: 231
Cycle 0 time: 16
RW cycle time: 1307
Cycle 1 time: 652
Cycle 2 time: 233
Cycle 0 time: 16
RW cycle time: 901
Cycle 1 time: 701
Cycle 2 time: 241
Cycle 0 time: 17
RW cycle time: 959
Cycle 1 time: 613
Cycle 2 time: 238
